2024-12-18T01:47:39.689106: 0 mW, 3.556 kW
2024-12-18T01:47:49.694198900: 0 mW, 4.07 kW
2024-12-18T01:48:09.712663100: 0 mW, 4.579 kW
2024-12-18T01:48:19.721287: 0 mW, 5.079 kW
2024-12-18T01:48:39.737653500: 0 mW, 5.578 kW
2024-12-18T01:49:19.773310300: 0 mW, 5.579 kW
2024-12-18T01:49:39.779245400: 0 mW, 5.573 kW
2024-12-18T01:50:09.815942: 0 mW, 5.57 kW
2024-12-18T01:50:29.836756600: 0 mW, 5.555 kW
2024-12-18T01:50:39.843511: 0 mW, 5.532 kW
2024-12-18T01:50:59.870815800: 0 mW, 5.537 kW
2024-12-18T01:51:09.883662800: 0 mW, 5.532 kW
2024-12-18T01:51:29.901766500: 0 mW, 5.525 kW
2024-12-18T01:51:39.907157100: 0 mW, 5.536 kW
2024-12-18T01:51:59.927074: 0 mW, 5.549 kW
2024-12-18T01:52:29.939139900: 0 mW, 5.552 kW
2024-12-18T01:52:39.949991800: 0 mW, 5.558 kW
2024-12-18T01:52:59.969174600: 0 mW, 5.554 kW
2024-12-18T01:53:09.984063700: 0 mW, 5.053 kW
2024-12-18T01:53:30.006951800: 0 mW, 4.547 kW
2024-12-18T01:53:40.019515300: 0 mW, 4.041 kW
2024-12-18T01:54:00.041749: 0 mW, 3.521 kW
2024-12-18T01:54:10.051696600: 0 mW, 3.027 kW
2024-12-18T01:54:30.072889900: 0 mW, 3.032 kW
2024-12-18T01:54:40.081595200: 0 mW, 3.036 kW
2024-12-18T01:55:00.084692: 0 mW, 3.042 kW
2024-12-18T01:55:10.085817400: 0 mW, 3.052 kW
2024-12-18T01:55:30.103574600: 0 mW, 3.053 kW
2024-12-18T01:55:40.116104900: 0 mW, 3.067 kW
2024-12-18T01:56:00.124626400: 0 mW, 3.081 kW
2024-12-18T01:56:10.127878100: 0 mW, 3.089 kW
2024-12-18T01:56:30.141088300: 0 mW, 3.112 kW
2024-12-18T01:56:40.153359: 0 mW, 3.125 kW
2024-12-18T01:57:00.165485600: 0 mW, 3.132 kW
2024-12-18T01:57:10.173149900: 0 mW, 3.137 kW
2024-12-18T01:57:40.204260800: 0 mW, 3.14 kW
2024-12-18T01:58:00.212565200: 0 mW, 3.141 kW
2024-12-18T01:58:10.225464500: 0 mW, 3.144 kW
2024-12-18T01:58:30.234528500: 0 mW, 3.141 kW
2024-12-18T01:58:40.247514800: 0 mW, 3.156 kW
2024-12-18T01:59:00.258233600: 0 mW, 3.16 kW
2024-12-18T01:59:20.268272: 0 mW, 3.167 kW
2024-12-18T01:59:30.270958400: 0 mW, 3.164 kW
2024-12-18T01:59:50.276037500: 0 mW, 3.179 kW
2024-12-18T02:00:20.299398300: 0 mW, 3.188 kW
2024-12-18T02:00:30.299930600: 0 mW, 3.198 kW
2024-12-18T02:00:50.320227300: 0 mW, 3.201 kW
2024-12-18T02:01:00.334229700: 0 mW, 3.202 kW
2024-12-18T02:01:20.353287400: 0 mW, 3.205 kW
2024-12-18T02:01:30.356238300: 0 mW, 3.181 kW
2024-12-18T02:01:50.377229: 0 mW, 3.162 kW
